original_index,review_text,review_text_processed,review_text_tokenized,polarity,rating,kfold_polarity,kfold_rating
96376,"No boleto está escrito que quem está recebendo meu dinheiro é a loja lannister. Quero o produto não o dinheiro de volta perdi outra promoção em outro site para comprar nas lannister.
","no boleto esta escrito que quem esta recebendo meu dinheiro e a loja lannister. quero o produto nao o dinheiro de volta perdi outra promocao em outro site para comprar nas lannister.
","['no', 'boleto', 'esta', 'escrito', 'que', 'quem', 'esta', 'recebendo', 'meu', 'dinheiro', 'loja', 'lannister', 'quero', 'produto', 'nao', 'dinheiro', 'de', 'volta', 'perdi', 'outra', 'promocao', 'em', 'outro', 'site', 'para', 'comprar', 'nas', 'lannister']",0.0,1,10,10
84630,"Sempre obtive ótimos resultados, nas compras efetuadas através desse Site.","sempre obtive otimos resultados, nas compras efetuadas atraves desse site.","['sempre', 'obtive', 'otimos', 'resultados', 'nas', 'compras', 'efetuadas', 'atraves', 'desse', 'site']",1.0,5,10,10
28140,Pedido chegou antes do Prazo. CONTINUE ASSIM L&A,pedido chegou antes do prazo. continue assim l&a,"['pedido', 'chegou', 'antes', 'do', 'prazo', 'continue', 'assim']",1.0,5,10,10
52007,"Produto de qualidade, entrega no prazo. Recomendo!","produto de qualidade, entrega no prazo. recomendo!","['produto', 'de', 'qualidade', 'entrega', 'no', 'prazo', 'recomendo']",1.0,5,10,10
65618,Imaginei que obproduto fosse melhor. Na verdade o produto decepcionou minhas expectativas.,imaginei que obproduto fosse melhor. na verdade o produto decepcionou minhas expectativas.,"['imaginei', 'que', 'obproduto', 'fosse', 'melhor', 'na', 'verdade', 'produto', 'decepcionou', 'minhas', 'expectativas']",0.0,2,10,10
87250,"A cadeira é bem simples, é nova então não deu problema ainda, mas é bem barata e por essa faixa de preço não se poderia esperar nada melhor mesmo!","a cadeira e bem simples, e nova entao nao deu problema ainda, mas e bem barata e por essa faixa de preco nao se poderia esperar nada melhor mesmo!","['cadeira', 'bem', 'simples', 'nova', 'entao', 'nao', 'deu', 'problema', 'ainda', 'mas', 'bem', 'barata', 'por', 'essa', 'faixa', 'de', 'preco', 'nao', 'se', 'poderia', 'esperar', 'nada', 'melhor', 'mesmo']",,3,-1,10
48908,"Achei diferente do anunciado,mas tá valendo pelo custo benefício!","achei diferente do anunciado,mas ta valendo pelo custo beneficio!","['achei', 'diferente', 'do', 'anunciado', 'mas', 'ta', 'valendo', 'pelo', 'custo', 'beneficio']",,3,-1,10
34790,"Solicitei um produto e me enviaram outro, foi devolvido conforme orientação do vendedor mas ate agora não fui ressarcida do valor pago, uma vez que a compra foi efetuada com cartão de credito.","solicitei um produto e me enviaram outro, foi devolvido conforme orientacao do vendedor mas ate agora nao fui ressarcida do valor pago, uma vez que a compra foi efetuada com cartao de credito.","['solicitei', 'um', 'produto', 'me', 'enviaram', 'outro', 'foi', 'devolvido', 'conforme', 'orientacao', 'do', 'vendedor', 'mas', 'ate', 'agora', 'nao', 'fui', 'ressarcida', 'do', 'valor', 'pago', 'uma', 'vez', 'que', 'compra', 'foi', 'efetuada', 'com', 'cartao', 'de', 'credito']",,3,-1,10
50977,"Super recomendo o vendedor, o produto chegou em 4 dias após o reconhecimento do pagamento. Produto igual ao descrito.","super recomendo o vendedor, o produto chegou em 4 dias apos o reconhecimento do pagamento. produto igual ao descrito.","['super', 'recomendo', 'vendedor', 'produto', 'chegou', 'em', 'dias', 'apos', 'reconhecimento', 'do', 'pagamento', 'produto', 'igual', 'ao', 'descrito']",1.0,5,10,10
80731,Ótimo produto,otimo produto,"['otimo', 'produto']",1.0,5,10,10
58316,"O cubo é muito maleável, sua cores são maravilhosas. Recomendo muito.","o cubo e muito maleavel, sua cores sao maravilhosas. recomendo muito.","['cubo', 'muito', 'maleavel', 'sua', 'cores', 'sao', 'maravilhosas', 'recomendo', 'muito']",1.0,5,10,10
6713,Muito bom! Foi entregue entes do prazo.,muito bom! foi entregue entes do prazo.,"['muito', 'bom', 'foi', 'entregue', 'entes', 'do', 'prazo']",1.0,5,10,10
6831,Foi entregue somente 1. Quero saber do outro produto.,foi entregue somente 1. quero saber do outro produto.,"['foi', 'entregue', 'somente', 'quero', 'saber', 'do', 'outro', 'produto']",0.0,2,10,10
86384,"O produto veio todo quebrado o papel bolha marrom lotado de sombra, não recomendo a loja quero meu dinheiro de volta péssima entrega.
Por ser um produto frágil, deveria vim dentro de uma caixa ","o produto veio todo quebrado o papel bolha marrom lotado de sombra, nao recomendo a loja quero meu dinheiro de volta pessima entrega.
por ser um produto fragil, deveria vim dentro de uma caixa ","['produto', 'veio', 'todo', 'quebrado', 'papel', 'bolha', 'marrom', 'lotado', 'de', 'sombra', 'nao', 'recomendo', 'loja', 'quero', 'meu', 'dinheiro', 'de', 'volta', 'pessima', 'entrega', 'por', 'ser', 'um', 'produto', 'fragil', 'deveria', 'vim', 'dentro', 'de', 'uma', 'caixa']",0.0,1,10,10
91462,"Gostei muito
","gostei muito
","['gostei', 'muito']",1.0,5,10,10
84539,Gostei bastante do produto,gostei bastante do produto,"['gostei', 'bastante', 'do', 'produto']",1.0,5,10,10
90475,Já é o segundo produto que compro na lannister.com e chega antes do prazo e com muita qualidade! A maca chegou em perfeito estado e a qualidade é indiscutível!,ja e o segundo produto que compro na lannister.com e chega antes do prazo e com muita qualidade! a maca chegou em perfeito estado e a qualidade e indiscutivel!,"['ja', 'segundo', 'produto', 'que', 'compro', 'na', 'lannister', 'com', 'chega', 'antes', 'do', 'prazo', 'com', 'muita', 'qualidade', 'maca', 'chegou', 'em', 'perfeito', 'estado', 'qualidade', 'indiscutivel']",1.0,5,10,10
78443,Realizei um pedido com dois itens e apenas 1 deles foi entregue. Fiz algumas reclamações e até agora ninguém entrou em contato comigo pra entregar o outro produto ou para devolver o dinheiro.,realizei um pedido com dois itens e apenas 1 deles foi entregue. fiz algumas reclamacoes e ate agora ninguem entrou em contato comigo pra entregar o outro produto ou para devolver o dinheiro.,"['realizei', 'um', 'pedido', 'com', 'dois', 'itens', 'apenas', 'deles', 'foi', 'entregue', 'fiz', 'algumas', 'reclamacoes', 'ate', 'agora', 'ninguem', 'entrou', 'em', 'contato', 'comigo', 'pra', 'entregar', 'outro', 'produto', 'ou', 'para', 'devolver', 'dinheiro']",0.0,1,10,10
99820,"Boa qualidade da mercadoria, pontualidade e preço justo.","boa qualidade da mercadoria, pontualidade e preco justo.","['boa', 'qualidade', 'da', 'mercadoria', 'pontualidade', 'preco', 'justo']",1.0,4,10,10
1012,Adoro comprar nas lojas lannister,adoro comprar nas lojas lannister,"['adoro', 'comprar', 'nas', 'lojas', 'lannister']",1.0,4,10,10
63972,Bom ,bom ,['bom'],1.0,4,10,10
39874,"A targaryen entregou bem antes do prazo, O produto ainda não vi mandei entregar na casa de minha mãe.","a targaryen entregou bem antes do prazo, o produto ainda nao vi mandei entregar na casa de minha mae.","['targaryen', 'entregou', 'bem', 'antes', 'do', 'prazo', 'produto', 'ainda', 'nao', 'vi', 'mandei', 'entregar', 'na', 'casa', 'de', 'minha', 'mae']",1.0,4,10,10
10323,Amei o produto..recomendo,amei o produto..recomendo,"['amei', 'produto', 'recomendo']",1.0,5,10,10
1149,Super recomendo.entrega e produtos ok.,super recomendo.entrega e produtos ok.,"['super', 'recomendo', 'entrega', 'produtos', 'ok']",1.0,5,10,10
30419,"Parabéns pelo atendimento, fidelidade na entrega; chegou bem antes do previsto;Muito bem protegido com a nota fiscal colada na caixa; sempre comprei e nunca me frustrei, parabéns por tudo...","parabens pelo atendimento, fidelidade na entrega; chegou bem antes do previsto;muito bem protegido com a nota fiscal colada na caixa; sempre comprei e nunca me frustrei, parabens por tudo...","['parabens', 'pelo', 'atendimento', 'fidelidade', 'na', 'entrega', 'chegou', 'bem', 'antes', 'do', 'previsto', 'muito', 'bem', 'protegido', 'com', 'nota', 'fiscal', 'colada', 'na', 'caixa', 'sempre', 'comprei', 'nunca', 'me', 'frustrei', 'parabens', 'por', 'tudo']",1.0,4,10,10
93987,"Recebi o produto dentro do tempo estipulado...
Porém o mesmo veio trincado. ","recebi o produto dentro do tempo estipulado...
porem o mesmo veio trincado. ","['recebi', 'produto', 'dentro', 'do', 'tempo', 'estipulado', 'porem', 'mesmo', 'veio', 'trincado']",1.0,4,10,10
22511,A entrega foi muito rápida e o produto atende as expectativas!,a entrega foi muito rapida e o produto atende as expectativas!,"['entrega', 'foi', 'muito', 'rapida', 'produto', 'atende', 'as', 'expectativas']",1.0,5,10,10
90421,"Exatamente como na foto, produto chegou super rápido.","exatamente como na foto, produto chegou super rapido.","['exatamente', 'como', 'na', 'foto', 'produto', 'chegou', 'super', 'rapido']",1.0,5,10,10
26201,"O pedido chegou antes da data prevista, satisfeitíssima","o pedido chegou antes da data prevista, satisfeitissima","['pedido', 'chegou', 'antes', 'da', 'data', 'prevista', 'satisfeitissima']",1.0,4,10,10
8116,"Produto que sinais de uso , manchado , marcado e quebrado ","produto que sinais de uso , manchado , marcado e quebrado ","['produto', 'que', 'sinais', 'de', 'uso', 'manchado', 'marcado', 'quebrado']",0.0,1,10,10
49700,"O produto chegou no prazo e é como descrito porem na parte de tras do produto ficou desnivelado, faltou acabamento.","o produto chegou no prazo e e como descrito porem na parte de tras do produto ficou desnivelado, faltou acabamento.","['produto', 'chegou', 'no', 'prazo', 'como', 'descrito', 'porem', 'na', 'parte', 'de', 'tras', 'do', 'produto', 'ficou', 'desnivelado', 'faltou', 'acabamento']",1.0,4,10,10
49609,"Na foto parecia cinza, porém eu queria preta mas comprei mesmo assim por que o valor estava ótimo. Chegou preta como eu gostaria. Amei!!!","na foto parecia cinza, porem eu queria preta mas comprei mesmo assim por que o valor estava otimo. chegou preta como eu gostaria. amei!!!","['na', 'foto', 'parecia', 'cinza', 'porem', 'eu', 'queria', 'preta', 'mas', 'comprei', 'mesmo', 'assim', 'por', 'que', 'valor', 'estava', 'otimo', 'chegou', 'preta', 'como', 'eu', 'gostaria', 'amei']",1.0,5,10,10
49084,"Produto conforme descrito, muito bom e entrega rápida.","produto conforme descrito, muito bom e entrega rapida.","['produto', 'conforme', 'descrito', 'muito', 'bom', 'entrega', 'rapida']",1.0,5,10,10
74157,muito bom,muito bom,"['muito', 'bom']",1.0,5,10,10
63634,"o produto era o que esperado, fiquei satisfeita","o produto era o que esperado, fiquei satisfeita","['produto', 'era', 'que', 'esperado', 'fiquei', 'satisfeita']",1.0,4,10,10
14739,"Escolhi a luminária, comprei e como é usual já esperava receber no prazo máximo. Na verdade, achei que era até um engano quando recebi poucos dias depois da compra e tudo conforme combinado no pedido.","escolhi a luminaria, comprei e como e usual ja esperava receber no prazo maximo. na verdade, achei que era ate um engano quando recebi poucos dias depois da compra e tudo conforme combinado no pedido.","['escolhi', 'luminaria', 'comprei', 'como', 'usual', 'ja', 'esperava', 'receber', 'no', 'prazo', 'maximo', 'na', 'verdade', 'achei', 'que', 'era', 'ate', 'um', 'engano', 'quando', 'recebi', 'poucos', 'dias', 'depois', 'da', 'compra', 'tudo', 'conforme', 'combinado', 'no', 'pedido']",1.0,5,10,10
6736,Boa loja,boa loja,"['boa', 'loja']",1.0,5,10,10
10364,"Sem comentários, prazo, qualidade, eficiência e etc......
Muito obrigado a essa equipe, pelo respeito ao consumidor.","sem comentarios, prazo, qualidade, eficiencia e etc......
muito obrigado a essa equipe, pelo respeito ao consumidor.","['sem', 'comentarios', 'prazo', 'qualidade', 'eficiencia', 'etc', 'muito', 'obrigado', 'essa', 'equipe', 'pelo', 'respeito', 'ao', 'consumidor']",1.0,5,10,10
85899,Adorei estou super satisfeita com baratheon ,adorei estou super satisfeita com baratheon ,"['adorei', 'estou', 'super', 'satisfeita', 'com', 'baratheon']",1.0,5,10,10
11476,Ótimo foi como esperado,otimo foi como esperado,"['otimo', 'foi', 'como', 'esperado']",1.0,5,10,10
78244,"Produto muito bom, entrega rápida, antes do prazo, facilidade na compra. Nada a reclamar. Recomendo.","produto muito bom, entrega rapida, antes do prazo, facilidade na compra. nada a reclamar. recomendo.","['produto', 'muito', 'bom', 'entrega', 'rapida', 'antes', 'do', 'prazo', 'facilidade', 'na', 'compra', 'nada', 'reclamar', 'recomendo']",1.0,5,10,10
79557,"Comprei um cabo tipo c para utilizar no meu moto z play, e recebi um cabo mini usb","comprei um cabo tipo c para utilizar no meu moto z play, e recebi um cabo mini usb","['comprei', 'um', 'cabo', 'tipo', 'para', 'utilizar', 'no', 'meu', 'moto', 'play', 'recebi', 'um', 'cabo', 'mini', 'usb']",0.0,1,10,10
58216,"Acho que deveria explicar melhor o que está sendo oferecido, para que o consumidor não tenha duvidas na Hora da compra. 
Pedi k1 que tem os nomes no fone de ouvido e veio kb1 que não vem.","acho que deveria explicar melhor o que esta sendo oferecido, para que o consumidor nao tenha duvidas na hora da compra. 
pedi k1 que tem os nomes no fone de ouvido e veio kb1 que nao vem.","['acho', 'que', 'deveria', 'explicar', 'melhor', 'que', 'esta', 'sendo', 'oferecido', 'para', 'que', 'consumidor', 'nao', 'tenha', 'duvidas', 'na', 'hora', 'da', 'compra', 'pedi', 'k1', 'que', 'tem', 'os', 'nomes', 'no', 'fone', 'de', 'ouvido', 'veio', 'kb1', 'que', 'nao', 'vem']",0.0,1,10,10
41153,Boa,boa,['boa'],1.0,5,10,10
24221,"correios informa que ate agora não chegou no cd da minha cidade, mas loja que entrega com o correio so se pode esperar isso mesmo","correios informa que ate agora nao chegou no cd da minha cidade, mas loja que entrega com o correio so se pode esperar isso mesmo","['correios', 'informa', 'que', 'ate', 'agora', 'nao', 'chegou', 'no', 'cd', 'da', 'minha', 'cidade', 'mas', 'loja', 'que', 'entrega', 'com', 'correio', 'so', 'se', 'pode', 'esperar', 'isso', 'mesmo']",0.0,1,10,10
97126,Tudo conforme o combinado.,tudo conforme o combinado.,"['tudo', 'conforme', 'combinado']",1.0,5,10,10
14546,"Entrega rápida, bem antes do prazo. Ótimo produto e muito bonito.","entrega rapida, bem antes do prazo. otimo produto e muito bonito.","['entrega', 'rapida', 'bem', 'antes', 'do', 'prazo', 'otimo', 'produto', 'muito', 'bonito']",1.0,5,10,10
1879,Excelente.,excelente.,['excelente'],1.0,5,10,10
31149,Produto de excelente qualidade.,produto de excelente qualidade.,"['produto', 'de', 'excelente', 'qualidade']",1.0,5,10,10
28016,"Produto bem embalado e chegou em menos de dois dias após a nota fiscal ser emitida.
Recomendo. ","produto bem embalado e chegou em menos de dois dias apos a nota fiscal ser emitida.
recomendo. ","['produto', 'bem', 'embalado', 'chegou', 'em', 'menos', 'de', 'dois', 'dias', 'apos', 'nota', 'fiscal', 'ser', 'emitida', 'recomendo']",1.0,5,10,10
22094,"Recomendo a compra desse produto, meia segunda pele.","recomendo a compra desse produto, meia segunda pele.","['recomendo', 'compra', 'desse', 'produto', 'meia', 'segunda', 'pele']",1.0,5,10,10
644,ainda não recebi o produto,ainda nao recebi o produto,"['ainda', 'nao', 'recebi', 'produto']",,3,-1,10
92744,O produto foi enviado com defeito.,o produto foi enviado com defeito.,"['produto', 'foi', 'enviado', 'com', 'defeito']",0.0,1,10,10
6613,O prazo da entrega era grande e caro... Agora atrasar a entrega foi a primeira vez. 👎,o prazo da entrega era grande e caro... agora atrasar a entrega foi a primeira vez. 👎,"['prazo', 'da', 'entrega', 'era', 'grande', 'caro', 'agora', 'atrasar', 'entrega', 'foi', 'primeira', 'vez']",,3,-1,10
57035,Prazo de entrega melhor que o esperado! Produto chegou muito rápido! facilidade na compra e satisfação garantida!,prazo de entrega melhor que o esperado! produto chegou muito rapido! facilidade na compra e satisfacao garantida!,"['prazo', 'de', 'entrega', 'melhor', 'que', 'esperado', 'produto', 'chegou', 'muito', 'rapido', 'facilidade', 'na', 'compra', 'satisfacao', 'garantida']",1.0,5,10,10
18590,Excelente produto muito lindo entrega rapida,excelente produto muito lindo entrega rapida,"['excelente', 'produto', 'muito', 'lindo', 'entrega', 'rapida']",1.0,5,10,10
64352,Show super recomendo,show super recomendo,"['show', 'super', 'recomendo']",1.0,5,10,10
51158,"ótimo produto, exatamente o que eu queria.","otimo produto, exatamente o que eu queria.","['otimo', 'produto', 'exatamente', 'que', 'eu', 'queria']",1.0,5,10,10
74362,"Foi a primeira é última vez que compro desta empresa,. Nunca mais, 

","foi a primeira e ultima vez que compro desta empresa,. nunca mais, 

","['foi', 'primeira', 'ultima', 'vez', 'que', 'compro', 'desta', 'empresa', 'nunca', 'mais']",0.0,1,10,10
87642,"Tivemos que retirar nos correios , maior burocracia , sempre comprei com a lannister e nunca tive esse problema , , não fiquei satisfeito , espero que na peoxima seje diferente .","tivemos que retirar nos correios , maior burocracia , sempre comprei com a lannister e nunca tive esse problema , , nao fiquei satisfeito , espero que na peoxima seje diferente .","['tivemos', 'que', 'retirar', 'nos', 'correios', 'maior', 'burocracia', 'sempre', 'comprei', 'com', 'lannister', 'nunca', 'tive', 'esse', 'problema', 'nao', 'fiquei', 'satisfeito', 'espero', 'que', 'na', 'peoxima', 'seje', 'diferente']",0.0,1,10,10
77091,Chegou somente parte dos produtos!!!,chegou somente parte dos produtos!!!,"['chegou', 'somente', 'parte', 'dos', 'produtos']",0.0,1,10,10
9277,"o produto veio correto e no prazo, porem veio com uma peça quebrada ","o produto veio correto e no prazo, porem veio com uma peca quebrada ","['produto', 'veio', 'correto', 'no', 'prazo', 'porem', 'veio', 'com', 'uma', 'peca', 'quebrada']",0.0,1,10,10
92759,"Material conforme descrito no site. Entregue dentro do programado.
Precisa melhorar o manual de instrução apenas.","material conforme descrito no site. entregue dentro do programado.
precisa melhorar o manual de instrucao apenas.","['material', 'conforme', 'descrito', 'no', 'site', 'entregue', 'dentro', 'do', 'programado', 'precisa', 'melhorar', 'manual', 'de', 'instrucao', 'apenas']",1.0,5,10,10
73202,gostei e aprovo,gostei e aprovo,"['gostei', 'aprovo']",1.0,5,10,10
8206,Farei outros pedidos,farei outros pedidos,"['farei', 'outros', 'pedidos']",1.0,5,10,10
58569,ainda estou aguardando,ainda estou aguardando,"['ainda', 'estou', 'aguardando']",,3,-1,10
28520,Recebi produto conforme anunciado,recebi produto conforme anunciado,"['recebi', 'produto', 'conforme', 'anunciado']",1.0,4,10,10
46236,"Chegou muito antes do prazo, excelente atendimento, super recomendo.","chegou muito antes do prazo, excelente atendimento, super recomendo.","['chegou', 'muito', 'antes', 'do', 'prazo', 'excelente', 'atendimento', 'super', 'recomendo']",1.0,5,10,10
11498,Fiquei muito satisfeita pq chegou bem antes do prazo final.,fiquei muito satisfeita pq chegou bem antes do prazo final.,"['fiquei', 'muito', 'satisfeita', 'pq', 'chegou', 'bem', 'antes', 'do', 'prazo', 'final']",1.0,5,10,10
42185,Loja parceira do stark sequer entrou em contato.,loja parceira do stark sequer entrou em contato.,"['loja', 'parceira', 'do', 'stark', 'sequer', 'entrou', 'em', 'contato']",0.0,1,10,10
75462,"O único problema é que a tesoura veio sem afiação, mastiga o cabelo do cliente. Ainda não mandei afiar para saber se é boa...","o unico problema e que a tesoura veio sem afiacao, mastiga o cabelo do cliente. ainda nao mandei afiar para saber se e boa...","['unico', 'problema', 'que', 'tesoura', 'veio', 'sem', 'afiacao', 'mastiga', 'cabelo', 'do', 'cliente', 'ainda', 'nao', 'mandei', 'afiar', 'para', 'saber', 'se', 'boa']",,3,-1,10
21996,"Produto corresponde ao anunciado.
","produto corresponde ao anunciado.
","['produto', 'corresponde', 'ao', 'anunciado']",1.0,5,10,10
59109,"A bateria chegou estourada, estão nem consegui ligar o termômetro ainda.","a bateria chegou estourada, estao nem consegui ligar o termometro ainda.","['bateria', 'chegou', 'estourada', 'estao', 'nem', 'consegui', 'ligar', 'termometro', 'ainda']",0.0,2,10,10
69133," A única coisa que desagradou foi que as os parafusos vieram soltos e caixa estava amassada e rasgada. Não colocaram em um saco plástico simples. "," a unica coisa que desagradou foi que as os parafusos vieram soltos e caixa estava amassada e rasgada. nao colocaram em um saco plastico simples. ","['unica', 'coisa', 'que', 'desagradou', 'foi', 'que', 'as', 'os', 'parafusos', 'vieram', 'soltos', 'caixa', 'estava', 'amassada', 'rasgada', 'nao', 'colocaram', 'em', 'um', 'saco', 'plastico', 'simples']",1.0,5,10,10
13552,O produto me chegou divergindo em relação ao informado no site sobre o funcionamento do mesmo. Falta o botão redutor de velocidade,o produto me chegou divergindo em relacao ao informado no site sobre o funcionamento do mesmo. falta o botao redutor de velocidade,"['produto', 'me', 'chegou', 'divergindo', 'em', 'relacao', 'ao', 'informado', 'no', 'site', 'sobre', 'funcionamento', 'do', 'mesmo', 'falta', 'botao', 'redutor', 'de', 'velocidade']",0.0,1,10,10
13087,"recebi mas ainda não instalei. Veio conforme imaginei . lindo, espero que funcione perfeitamente.","recebi mas ainda nao instalei. veio conforme imaginei . lindo, espero que funcione perfeitamente.","['recebi', 'mas', 'ainda', 'nao', 'instalei', 'veio', 'conforme', 'imaginei', 'lindo', 'espero', 'que', 'funcione', 'perfeitamente']",1.0,5,10,10
8179,Recebi o produto errado.,recebi o produto errado.,"['recebi', 'produto', 'errado']",,3,-1,10
82744,Determinado ,determinado ,['determinado'],1.0,5,10,10
96909,Recomendo,recomendo,['recomendo'],,3,-1,10
5999,Produto arranhado!,produto arranhado!,"['produto', 'arranhado']",0.0,1,10,10
51033,Estão de parabéns pela pontualidade e qualidade dos produtos.,estao de parabens pela pontualidade e qualidade dos produtos.,"['estao', 'de', 'parabens', 'pela', 'pontualidade', 'qualidade', 'dos', 'produtos']",1.0,5,10,10
11106,"Já pedi minha devolução e ate agora n recebi retorno, isso tem mais de 3 dias e me deram prazo de 48hs. Quero meu reembolso","ja pedi minha devolucao e ate agora n recebi retorno, isso tem mais de 3 dias e me deram prazo de 48hs. quero meu reembolso","['ja', 'pedi', 'minha', 'devolucao', 'ate', 'agora', 'recebi', 'retorno', 'isso', 'tem', 'mais', 'de', 'dias', 'me', 'deram', 'prazo', 'de', '48hs', 'quero', 'meu', 'reembolso']",0.0,2,10,10
4211,"A única questão foi um comunicado que recebi dizendo que não receberia o produto e até mesmo um link para ""cancelar"" a compra.","a unica questao foi um comunicado que recebi dizendo que nao receberia o produto e ate mesmo um link para ""cancelar"" a compra.","['unica', 'questao', 'foi', 'um', 'comunicado', 'que', 'recebi', 'dizendo', 'que', 'nao', 'receberia', 'produto', 'ate', 'mesmo', 'um', 'link', 'para', 'cancelar', 'compra']",1.0,4,10,10
16665,Depois de 16 minutos no telefone ser aguardado para reclamar do meu problema que veio com defeito uma capa de celular que não encaixa direito no aparelho simplesmente atenderam e desligaram.,depois de 16 minutos no telefone ser aguardado para reclamar do meu problema que veio com defeito uma capa de celular que nao encaixa direito no aparelho simplesmente atenderam e desligaram.,"['depois', 'de', '16', 'minutos', 'no', 'telefone', 'ser', 'aguardado', 'para', 'reclamar', 'do', 'meu', 'problema', 'que', 'veio', 'com', 'defeito', 'uma', 'capa', 'de', 'celular', 'que', 'nao', 'encaixa', 'direito', 'no', 'aparelho', 'simplesmente', 'atenderam', 'desligaram']",0.0,1,10,10
34060,"Estou aguardando uma luminária que não chegou, só veio uma na caixa que recebi, só veio uma luminária dentro.
Não obtive retorno sobre a minha reclamação.","estou aguardando uma luminaria que nao chegou, so veio uma na caixa que recebi, so veio uma luminaria dentro.
nao obtive retorno sobre a minha reclamacao.","['estou', 'aguardando', 'uma', 'luminaria', 'que', 'nao', 'chegou', 'so', 'veio', 'uma', 'na', 'caixa', 'que', 'recebi', 'so', 'veio', 'uma', 'luminaria', 'dentro', 'nao', 'obtive', 'retorno', 'sobre', 'minha', 'reclamacao']",0.0,1,10,10
39490,Entregue antes do previsto super recomendo ,entregue antes do previsto super recomendo ,"['entregue', 'antes', 'do', 'previsto', 'super', 'recomendo']",1.0,5,10,10
88052,Chegou no prazo conforme combinado,chegou no prazo conforme combinado,"['chegou', 'no', 'prazo', 'conforme', 'combinado']",1.0,5,10,10
82566,"A bolsa é ótima e o cuidado da loja é o que mais surpreendeu. Laço na sacola, cheiro de bebê, cada detalhe muito bem pensado. Parabéns! ","a bolsa e otima e o cuidado da loja e o que mais surpreendeu. laco na sacola, cheiro de bebe, cada detalhe muito bem pensado. parabens! ","['bolsa', 'otima', 'cuidado', 'da', 'loja', 'que', 'mais', 'surpreendeu', 'laco', 'na', 'sacola', 'cheiro', 'de', 'bebe', 'cada', 'detalhe', 'muito', 'bem', 'pensado', 'parabens']",1.0,5,10,10
